,scores,labels
0,0.15822978,0
1,0.094867855,0
2,0.094867855,0
3,0.094867855,0
4,0.2689014,0
5,0.094867855,0
6,0.694709,0
7,0.094867855,0
8,0.094867855,0
9,0.094867855,0
10,0.38180813,0
11,0.26941758,0
12,0.094867855,0
13,0.105215505,0
14,0.094867855,0
15,0.094867855,0
16,0.26790234,0
17,0.094867855,0
18,0.094867855,0
19,0.15096341,0
20,0.2238575,0
21,0.094867855,0
22,0.094867855,0
23,0.12239315,0
24,0.24797893,0
25,0.094867855,0
26,0.11517093,0
27,0.094867855,0
28,0.094867855,0
29,0.09751928,0
30,0.093577445,0
31,0.20363228,0
32,0.043475334,0
33,0.038161222,0
34,0.038161222,0
35,0.038161222,0
36,0.038161222,0
37,0.038161222,0
38,0.038161222,0
39,0.038161222,0
40,0.038161222,0
41,0.21341635,0
42,0.038161222,0
43,0.036311727,0
44,0.3173665,0
45,0.15665951,0
46,0.038161222,0
47,0.1864763,0
48,0.21848434,0
49,0.038161222,0
50,0.038161222,0
51,0.038161222,0
52,0.035232697,0
53,0.043311868,0
54,0.038161222,0
55,0.038161222,0
56,0.3148494,0
57,0.038161222,0
58,0.17705627,0
59,0.038161222,0
60,0.18887673,0
61,0.038161222,0
62,0.038161222,0
63,0.038161222,0
64,0.08393797,0
65,0.08393797,0
66,0.08415388,0
67,0.08393797,0
68,0.19219685,0
69,0.08393797,0
70,0.25658077,0
71,0.08393797,0
72,0.08393797,0
73,0.08393797,0
74,0.08393797,0
75,0.08393797,0
76,0.08820084,0
77,0.08393797,0
78,0.08393797,0
79,0.08393797,0
80,0.08393797,0
81,0.32709724,0
82,0.08393797,0
83,0.2283262,0
84,0.26249927,0
85,0.15999328,0
86,0.08393797,0
87,0.19594309,0
88,0.32417047,0
89,0.48813522,0
90,0.08393797,0
91,0.08393797,0
92,0.1541337,0
93,0.08393797,0
94,0.08393797,0
95,0.08393797,0
96,0.03187754,0
97,0.24189375,0
98,0.1277732,0
99,0.03187754,0
100,0.03187754,0
101,0.03187754,0
102,0.03187754,1
103,0.1588391,0
104,0.13591118,0
105,0.34752688,0
106,0.03187754,0
107,0.03187754,0
108,0.03187754,1
109,0.19861433,0
110,0.03187754,0
111,0.03187754,0
112,0.03187754,0
113,0.03187754,0
114,0.03187754,0
115,0.03187754,0
116,0.060853556,0
117,0.06346725,0
118,0.03187754,1
119,0.25324926,0
120,0.03187754,0
121,0.1763706,0
122,0.03187754,0
123,0.03187754,0
124,0.03709522,0
125,0.03187754,0
126,0.039540965,0
127,0.03187754,0
128,0.04350835,0
129,0.062248815,0
130,0.04350835,0
131,0.04350835,0
132,0.04350835,0
133,0.04350835,0
134,0.04350835,0
135,0.53768283,0
136,0.04350835,0
137,0.31695634,0
138,0.04350835,0
139,0.085698545,0
140,0.23745702,0
141,0.04350835,0
142,0.10465566,0
143,0.04350835,0
144,0.04624793,0
145,0.04350835,0
146,0.04350835,0
147,0.2499347,0
148,0.04350835,0
149,0.04350835,1
150,0.21347117,0
151,0.04350835,0
152,0.04350835,0
153,0.04350835,0
154,0.2549632,0
155,0.06384557,0
156,0.04350835,0
157,0.04350835,0
158,0.04350835,0
159,0.04350835,1
160,0.09459635,0
161,0.09459635,0
162,0.11745541,0
163,0.09459635,0
164,0.09459635,0
165,0.19704673,0
166,0.098795526,0
167,0.21891624,0
168,0.10322081,0
169,0.09459635,0
170,0.22554535,0
171,0.092517555,0
172,0.09459635,0
173,0.09459635,0
174,0.33501244,0
175,0.22109514,0
176,0.09459635,0
177,0.09459635,0
178,0.09459635,0
179,0.09459635,0
180,0.09459635,0
