,scores,labels
0,0.009129075,0
1,0.009208482,0
2,0.009732651,0
3,0.009129075,0
4,0.009197223,0
5,0.009483001,0
6,0.020455316,0
7,0.009129075,0
8,0.009068981,0
9,0.009129075,0
10,0.008003666,0
11,0.009703375,0
12,0.0097146705,0
13,0.009129075,0
14,0.009129075,0
15,0.009129075,0
16,0.009129075,0
17,0.010162357,0
18,0.009129075,0
19,0.009648452,0
20,0.009129075,0
21,0.009129075,0
22,0.009129075,0
23,0.027285509,0
24,0.009129075,0
25,0.009129075,0
26,0.007991095,0
27,0.009129075,0
28,0.009129075,0
29,0.009129075,0
30,0.009129075,1
31,0.009677878,0
32,0.021720601,0
33,0.021720601,0
34,0.021720601,0
35,0.021720601,0
36,0.021720601,0
37,0.021720601,0
38,0.025925983,0
39,0.019274404,0
40,0.019615429,0
41,0.021077063,0
42,0.022379687,0
43,0.016533008,0
44,0.018768031,0
45,0.021720601,0
46,0.01447115,0
47,0.021720601,0
48,0.021720601,0
49,0.017301261,0
50,0.021720601,0
51,0.023348477,0
52,0.021720601,0
53,0.020433074,0
54,0.020730171,0
55,0.03566178,0
56,0.018966733,0
57,0.015440529,0
58,0.021720601,0
59,0.021720601,0
60,0.021720601,0
61,0.021720601,0
62,0.022011254,0
63,0.021720601,0
64,0.026879856,0
65,0.03148803,0
66,0.02793898,0
67,0.025333097,0
68,0.032580126,0
69,0.023754256,0
70,0.032580126,0
71,0.032580126,0
72,0.030794315,0
73,0.0282225,0
74,0.03566846,0
75,0.02614832,0
76,0.032140777,0
77,0.031127322,0
78,0.032580126,0
79,0.026719024,0
80,0.032956306,0
81,0.028486544,0
82,0.032580126,0
83,0.032580126,0
84,0.032951415,0
85,0.029010445,0
86,0.032580126,0
87,0.02445868,0
88,0.032580126,0
89,0.032580126,0
90,0.026467301,0
91,0.024959741,0
92,0.032580126,0
93,0.03379669,0
94,0.026539093,0
95,0.027165847,0
96,0.00920635,0
97,0.012382299,0
98,0.0186213,0
99,0.012935556,0
100,0.012382299,0
101,0.012382299,0
102,0.01706554,0
103,0.010348492,0
104,0.012382299,0
105,0.012382299,0
106,0.012382299,0
107,0.012077798,0
108,0.011352726,0
109,0.012169339,0
110,0.010471838,0
111,0.011316409,0
112,0.012382299,0
113,0.012240335,0
114,0.012382299,0
115,0.012382299,0
